mass,CaPhi,acceptance,cross_section_pb,BR_h_to_Za,Gamma_total_alp_GeV,N_signal
0.316,1e-07,0.0,1.5870315773359845e-16,2.9061189843178622e-18,4.014676887106998e-24,0.0
0.316,1.26e-07,0.0,2.51957133217861e-16,4.613754499503039e-18,6.373701025971071e-24,0.0
0.316,1.58e-07,0.0,3.961865629661553e-16,7.254835432451113e-18,1.0022239380973914e-23,0.0
0.316,2e-07,0.0,6.348126309343938e-16,1.1624475937271449e-17,1.6058707548427992e-23,0.0
0.316,2.51e-07,0.0,9.998457640374444e-16,1.830884021310098e-17,2.5292865856462806e-23,0.0
0.316,3.16e-07,0.0,1.5847462518646211e-15,2.901934172980445e-17,4.0088957523895655e-23,0.0
0.316,3.98e-07,0.0,2.513921499763293e-15,4.6034087159188666e-17,6.359408776252971e-23,0.0
0.316,5.01e-07,0.0,3.983465129429097e-15,7.294387711827681e-17,1.0076879133407441e-22,0.0
0.316,6.31e-07,0.0,6.318940798636731e-15,1.1571032409149845e-16,1.5984877640474095e-22,0.0
0.316,7.94e-07,0.0,1.0005218394893893e-14,1.8321220279974167e-16,2.5309968380001885e-22,0.0
0.316,1e-06,0.0,1.5870315773359845e-14,2.9061189843178624e-16,4.0146768871069985e-22,0.0
0.316,1.26e-06,0.0,2.519571332178609e-14,4.613754499503038e-16,6.373701025971071e-22,0.0
0.316,1.58e-06,0.0,3.9618656296615495e-14,7.254835432451107e-16,1.0022239380973909e-21,0.0
0.316,2e-06,0.0,6.348126309343933e-14,1.162447593727144e-15,1.6058707548427994e-21,0.0
0.316,2.51e-06,0.0,9.998457640374425e-14,1.8308840213100944e-15,2.5292865856462806e-21,0.0
