mass,CaPhi,N_signal_h,N_signal_p,N_signal
1.0,0.0001,1.4405672431609412e-07,3.445158128174462e-15,1.4405672776125225e-07
1.0,0.000126,3.354799556967456e-07,9.565076254761424e-15,3.3547996526182187e-07
1.0,0.000158,8.458429780535028e-07,2.4859725712838332e-14,8.458430029132285e-07
1.0,0.0002,2.1040112712539723e-06,5.962344597628958e-14,2.104011330877418e-06
1.0,0.000251,4.580249778657135e-06,1.3864301434646054e-13,4.580249917300149e-06
1.0,0.000316,9.667607596671068e-06,2.8589518051645005e-13,9.667607882566248e-06
1.0,0.000398,1.779076111535409e-05,6.154501332412089e-13,1.7790761730804224e-05
1.0,0.000501,3.080170728288138e-05,1.0357397896182442e-12,3.080170831862117e-05
1.0,0.000631,4.860545481828448e-05,1.7682640358111574e-12,4.860545658654852e-05
1.0,0.000794,5.21826572171072e-05,2.536433924050236e-12,5.218265975354113e-05
1.0,0.001,3.578092690698161e-05,3.0164884351365868e-12,3.578092992347004e-05
1.0,0.00126,2.1518520602881266e-05,4.048312661101669e-12,2.1518524651193925e-05
1.0,0.00158,7.483807220791317e-06,2.996911706376017e-12,7.483810217703024e-06
1.0,0.002,1.8549463476983864e-06,2.8732591704639695e-12,1.8549492209575568e-06
1.0,0.00251,0.0,1.9718543686205844e-12,1.9718543686205844e-12
1.0,0.00316,0.0,1.1407483914884862e-12,1.1407483914884862e-12
1.0,0.00398,0.0,1.8684809321834243e-16,1.8684809321834243e-16
1.0,0.00501,0.0,0.0,0.0
1.0,0.00631,0.0,4.713439447159204e-16,4.713439447159204e-16
1.0,0.00794,0.0,0.0,0.0
1.0,0.01,0.0,0.0,0.0
1.0,0.0126,0.0,0.0,0.0
1.0,0.0158,0.0,0.0,0.0
1.0,0.02,0.0,0.0,0.0
1.0,0.0251,0.0,0.0,0.0
1.0,0.0316,0.0,0.0,0.0
1.0,0.0398,0.0,0.0,0.0
1.0,0.0501,0.0,0.0,0.0
1.0,0.0631,0.0,0.0,0.0
1.0,0.0794,0.0,0.0,0.0
1.0,0.1,0.0,0.0,0.0
1.0,0.126,0.0,0.0,0.0
1.0,0.158,0.0,0.0,0.0
1.0,0.2,0.0,0.0,0.0
1.0,0.251,0.0,0.0,0.0
1.0,0.316,0.0,0.0,0.0
1.0,0.398,0.0,0.0,0.0
1.0,0.501,0.0,0.0,0.0
1.0,0.631,0.0,0.0,0.0
1.0,0.794,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0
1.78,3.16e-08,0.0,0.0,0.0
1.78,3.98e-08,0.0,0.0,0.0
1.78,5.01e-08,0.0,0.0,0.0
1.78,6.31e-08,0.0,0.0,0.0
1.78,7.94e-08,0.0,0.0,0.0
1.78,1e-07,0.0,0.0,0.0
1.78,1.26e-07,0.0,0.0,0.0
1.78,1.58e-07,0.0,0.0,0.0
1.78,2e-07,0.0,0.0,0.0
1.78,2.51e-07,0.0,0.0,0.0
1.78,3.16e-07,0.0,0.0,0.0
1.78,3.98e-07,0.0,0.0,0.0
1.78,5.01e-07,0.0,0.0,0.0
1.78,6.31e-07,0.0,0.0,0.0
1.78,7.94e-07,0.0,0.0,0.0
1.78,1e-06,0.0,0.0,0.0
1.78,1.26e-06,0.0,0.0,0.0
1.78,1.58e-06,0.0,0.0,0.0
1.78,2e-06,0.0,0.0,0.0
1.78,2.51e-06,0.0,0.0,0.0
1.78,3.16e-06,2.961300732523596e-15,0.0,2.961300732523596e-15
1.78,3.98e-06,0.0,0.0,0.0
1.78,5.01e-06,7.543251414123272e-15,0.0,7.543251414123272e-15
1.78,6.31e-06,4.612566050850887e-14,2.3055137102923007e-19,4.6125891059879903e-14
